Retailer,Brand,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,
Walmart,ADIDAS,1197831,10/29/2021,South,Texas,Houston,ZX 1K Boost Shoes,38,350,13300,5985,45%,Outlet,
Foot Locker,ADIDAS,1185732,10/30/2021,Southeast,Georgia,Atlanta,ZX 1K Boost Shoes,26,349,9074,2722,30%,Outlet,
Foot Locker,ADIDAS,1185732,10/31/2021,Northeast,New York,New York,ZX 1K Boost Shoes,46,347,15962,7981,50%,Outlet,
West Gear,ADIDAS,1185732,11/1/2021,West,Utah,Salt Lake City,ZX 1K Boost Shoes,20,345,6900,2415,35%,In-store,
West Gear,ADIDAS,1128299,11/2/2021,West,California,San Francisco,ZX 1K Boost Shoes,41,341,13981,4893,35%,Outlet,
Foot Locker,ADIDAS,1185732,11/3/2021,Northeast,New York,New York,ZX 1K Boost Shoes,41,340,13940,4879,35%,Outlet,
Walmart,ADIDAS,1185732,11/4/2021,Northeast,New York,New York,Grand Court Shoes,48,340,16320,7344,45%,Outlet,
West Gear,ADIDAS,1128299,11/5/2021,West,California,San Francisco,Marathon 20 Shorts,41,338,13858,4157,30%,Outlet,
Foot Locker,ADIDAS,1185732,11/6/2021,Northeast,New York,New York,ZX 1K Boost Shoes,47,336,15792,7896,50%,Online,
Foot Locker,ADIDAS,1185732,11/7/2021,Northeast,New York,New York,Multix Shoes,39,333,12987,4545,35%,Outlet,
Walmart,ADIDAS,1185732,11/8/2021,Northeast,New York,New York,X9000L3 Shoes,42,333,13986,4895,35%,Outlet,
Walmart,ADIDAS,1197831,11/9/2021,South,Texas,Houston,Marathon 20 Shorts,32,333,10656,3730,35%,Outlet,
Walmart,ADIDAS,1197831,11/10/2021,South,Texas,Houston,Multix Shoes,34,333,11322,5095,45%,Outlet,
West Gear,ADIDAS,1128299,11/11/2021,West,California,San Francisco,LOUNGEWEAR Adicolor Essentials Tee,46,332,15272,4582,30%,Outlet,
Sports Direct,ADIDAS,1197831,11/12/2021,South,Texas,Dallas,Ultralight Allover Graphic Crew Performance Socks,35,332,11620,5810,50%,Outlet,
Foot Locker,ADIDAS,1185732,11/13/2021,Northeast,New York,New York,Ultimate365 Core 8.5-Inch Shorts,38,330,12540,4389,35%,Outlet,
Walmart,ADIDAS,1185732,11/14/2021,Northeast,New York,New York,Adicolor Classics 3-Stripes Crew Sweatshirt,50,330,16500,5775,35%,Outlet,
Foot Locker,ADIDAS,1185732,11/15/2021,Southeast,South Carolina,Charleston,AEROREADY Designed 2 Move Sport Stretch Tee,62,326,20212,7074,35%,Online,
Foot Locker,ADIDAS,1185732,11/16/2021,Midwest,Missouri,St. Louis,4ATHLTS ID Duffel Bag Small,25,325,8125,3656,45%,In-store,
Foot Locker,ADIDAS,1185732,11/17/2021,Midwest,Missouri,St. Louis,LOUNGEWEAR Essentials Logo Fleece Hoodie,25,325,8125,2438,30%,In-store,
West Gear,ADIDAS,1185732,11/18/2021,Midwest,Missouri,St. Louis,Running Ultralight Crew Performance Socks,20,325,6500,3250,50%,In-store,
West Gear,ADIDAS,1185732,11/19/2021,West,Utah,Salt Lake City,Running Ultralight Crew Performance Socks,25,325,8125,2844,35%,In-store,
West Gear,ADIDAS,1185732,11/20/2021,West,Utah,Salt Lake City,Finale 21 20th Anniversary UCL Mini Ball,15,325,4875,1706,35%,In-store,
West Gear,ADIDAS,1185732,11/21/2021,West,Utah,Salt Lake City,HER Studio London Track Jacket,10,325,3250,1138,35%,In-store,
West Gear,ADIDAS,1185732,11/22/2021,West,Utah,Salt Lake City,Warp knit Cargo Pants,20,325,6500,2925,45%,In-store,
Amazon,ADIDAS,1185732,11/23/2021,Midwest,Ohio,Columbus,Essentials 3-Stripes Cropped Hoodie,25,325,8125,2438,30%,Online,
Foot Locker,ADIDAS,1185732,11/24/2021,South,Mississippi,Jackson,Marathon Running Jacket (Plus Size),25,325,8125,4063,50%,Online,
Walmart,ADIDAS,1197831,11/25/2021,South,Arkansas,Little Rock,SAMBAROSE Shoes,20,325,6500,2275,35%,Online,
Walmart,ADIDAS,1197831,11/26/2021,South,Arkansas,Little Rock,SAMBAROSE Shoes,15,325,4875,1706,35%,Online,
Walmart,ADIDAS,1197831,11/27/2021,South,Arkansas,Little Rock,AEROREADY Designed 2 Move Sport Tee,25,325,8125,2844,35%,Online,
West Gear,ADIDAS,1197831,11/28/2021,South,Arkansas,Little Rock,Designed 2 Move 7/8 Sport Tights (Maternity),15,325,4875,2194,45%,Online,
Kohl's,ADIDAS,1197831,11/29/2021,Midwest,Kansas,Wichita,Adilette Comfort Slides,20,325,6500,1950,30%,Online,
Kohl's,ADIDAS,1197831,11/30/2021,Midwest,Kansas,Wichita,Adilette Comfort Slides,20,325,6500,3250,50%,Online,
West Gear,ADIDAS,1185732,12/1/2021,Northeast,West Virginia,Charleston,Essentials M̩lange Embroidered Small Logo Hoodie,20,325,6500,2275,35%,In-store,
Foot Locker,ADIDAS,1185732,12/2/2021,Northeast,New York,New York,Adilette Comfort Slides,58,325,18850,6598,35%,Online,
Foot Locker,ADIDAS,1185732,12/3/2021,Northeast,New York,New York,adidas Sportswear Future Icons Logo Graphic Pants,40,324,12960,4536,35%,Outlet,
Sports Direct,ADIDAS,1185732,12/4/2021,Southeast,Florida,Miami,LOUNGEWEAR Essentials Logo Tee,63,323,20349,9157,45%,Online,
Foot Locker,ADIDAS,1185732,12/5/2021,Northeast,New York,New York,Classic 3-Stripes Swim Shorts,32,323,10336,3101,30%,Outlet,
Foot Locker,ADIDAS,1185732,12/6/2021,Northeast,New York,New York,Designed 2 Move 7/8 Sport Tights (Maternity),36,323,11628,5814,50%,Outlet,
Walmart,ADIDAS,1197831,12/7/2021,South,Texas,Houston,adidas Sportswear Future Icons 3-Stripes Tee,33,323,10659,3731,35%,Outlet,
Walmart,ADIDAS,1185732,12/8/2021,Northeast,New York,New York,LOUNGEWEAR Tights,53,322,17066,5973,35%,Outlet,
West Gear,ADIDAS,1128299,12/9/2021,West,California,San Francisco,adidas Sportswear W.N.D. Windbreaker,40,322,12880,4508,35%,Outlet,
Sports Direct,ADIDAS,1197831,12/10/2021,South,Texas,Dallas,Classic 3-Stripes Swim Shorts,33,322,10626,4782,45%,Outlet,
Sports Direct,ADIDAS,1197831,12/11/2021,South,Tennessee,Knoxville,adidas Sportswear Future Icons Logo Graphic Tee,30,322,9660,2898,30%,Outlet,
Sports Direct,ADIDAS,1197831,12/12/2021,South,Alabama,Birmingham,adidas Sportswear Future Icons Logo Graphic Tee,31,322,9982,4991,50%,Outlet,
West Gear,ADIDAS,1197831,12/13/2021,South,Arkansas,Little Rock,adidas Sportswear Future Icons 3-Stripes Hoodie,25,320,8000,2800,35%,Online,
Foot Locker,ADIDAS,1185732,12/14/2021,Northeast,New York,New York,AEROREADY Warrior Tee,36,320,11520,4032,35%,Outlet,
Foot Locker,ADIDAS,1185732,12/15/2021,Northeast,New York,New York,adidas Sportswear Future Icons Logo Graphic Tee,44,320,14080,4928,35%,Outlet,
Foot Locker,ADIDAS,1185732,12/16/2021,Northeast,New York,New York,adidas Sportswear Future Icons Logo Graphic Pants,59,319,18821,8469,45%,Online,
Walmart,ADIDAS,1197831,12/17/2021,South,Texas,Houston,adidas Sportswear Future Icons 3-Stripes Hoodie,37,319,11803,3541,30%,Online,
Foot Locker,ADIDAS,1185732,12/18/2021,Southeast,Florida,Miami,AEROREADY Warrior Tee,43,319,13717,6859,50%,Online,
Foot Locker,ADIDAS,1185732,12/19/2021,Northeast,New York,New York,Adilette Comfort Slides,41,318,13038,4563,35%,Outlet,
Foot Locker,ADIDAS,1185732,12/20/2021,Northeast,New York,New York,adidas Sportswear Future Icons 3-Stripes Pants,54,317,17118,5991,35%,Online,
Foot Locker,ADIDAS,1185732,12/21/2021,Northeast,New York,New York,adidas Sportswear Future Icons 3-Stripes Shorts,39,315,12285,4300,35%,Outlet,
Foot Locker,ADIDAS,1185732,12/22/2021,Northeast,New York,New York,adidas Sportswear Future Icons 3-Stripes Tee,35,315,11025,4961,45%,Outlet,
Foot Locker,ADIDAS,1185732,12/23/2021,Northeast,New York,New York,Classic 3-Stripes Swim Shorts,35,315,11025,3308,30%,Outlet,
Foot Locker,ADIDAS,1185732,12/24/2021,Northeast,New York,New York,adidas Sportswear Future Icons Logo Graphic Hoodie,28,315,8820,4410,50%,Outlet,
Walmart,ADIDAS,1185732,12/25/2021,Northeast,New York,New York,Adilette Comfort Slides,36,315,11340,3969,35%,Outlet,
Walmart,ADIDAS,1185732,12/26/2021,Northeast,New York,New York,Adilette Comfort Slides,44,315,13860,4851,35%,Outlet,
Walmart,ADIDAS,1197831,12/27/2021,South,Texas,Houston,adidas Sportswear Future Icons 3-Stripes Shorts,24,315,7560,2646,35%,Outlet,
Walmart,ADIDAS,1197831,12/28/2021,South,Texas,Houston,adidas Sportswear Future Icons Logo Graphic Tee,36,315,11340,5103,45%,Outlet,
Kohl's,ADIDAS,1189833,12/29/2021,West,California,Los Angeles,Hamburg Shoes,39,315,12285,3686,30%,Outlet,
Foot Locker,ADIDAS,1185732,12/30/2021,Northeast,New York,New York,adidas Sportswear Future Icons Logo Graphic Hoodie,27,314,8478,4239,50%,Outlet,
Foot Locker,ADIDAS,1185732,12/31/2021,Northeast,New York,New York,adidas Sportswear Future Icons 3-Stripes Hoodie,37,314,11618,4066,35%,Outlet,
Sports Direct,ADIDAS,1197831,1/1/2020,South,Tennessee,Knoxville,Ultraboost Slip-On DNA Shoes,39,314,12246,4286,35%,Outlet,
Foot Locker,ADIDAS,1185732,10/26/2021,Northeast,New York,New York,Bryony Shoes,46,313,14398,5039,35%,Online,
Foot Locker,ADIDAS,1185732,10/27/2021,Northeast,New York,New York,Racer TR21 Shoes,55,313,17215,7747,45%,Online,
Walmart,ADIDAS,1185732,10/28/2021,Northeast,New York,New York,Racer TR21 Shoes,62,312,19344,5803,30%,Online,
Foot Locker,ADIDAS,1185732,10/29/2021,Southeast,Georgia,Atlanta,ZX 2K Boost Shoes,38,312,11856,5928,50%,Online,
Walmart,ADIDAS,1185732,10/30/2021,Northeast,New York,New York,Cloudfoam Pure 2.0  Shoes,40,312,12480,4368,35%,Outlet,
Foot Locker,ADIDAS,1185732,10/31/2021,Southeast,South Carolina,Charleston,Bryony Shoes,63,311,19593,3919,20%,Online,
Walmart,ADIDAS,1185732,11/1/2021,Northeast,New York,New York,Cloudfoam Pure 2.0  Shoes,43,310,13330,4666,35%,Outlet,
Foot Locker,ADIDAS,1185732,11/2/2021,Northeast,New York,New York,Bryony Shoes,53,308,16324,4897,30%,Online,
Sports Direct,ADIDAS,1185732,11/3/2021,Southeast,North Carolina,Charlotte,Cloudfoam Pure 2.0  Shoes,61,308,18788,9394,50%,Online,
Foot Locker,ADIDAS,1185732,11/4/2021,Northeast,New York,New York,Pureboost 21 Shoes,43,306,13158,1974,15%,Outlet,
Foot Locker,ADIDAS,1185732,11/5/2021,Northeast,New York,New York,Postmove Shoes,43,306,13158,4605,35%,Outlet,
Walmart,ADIDAS,1185732,11/6/2021,Northeast,New York,New York,Ozelia Shoes,34,306,10404,2081,20%,Outlet,
Walmart,ADIDAS,1185732,11/7/2021,Northeast,New York,New York,HER Studio London Adilette Slides,41,306,12546,4391,35%,Outlet,
Sports Direct,ADIDAS,1197831,11/8/2021,South,Texas,Houston,Cloudfoam Pure 2.0  Shoes,20,306,6120,1836,30%,Outlet,
Sports Direct,ADIDAS,1197831,11/9/2021,South,Texas,Houston,Adilette Slides,23,306,7038,3519,50%,Outlet,
Sports Direct,ADIDAS,1197831,11/10/2021,South,Texas,Houston,Ozelia Shoes,29,306,8874,1331,15%,Outlet,
Walmart,ADIDAS,1197831,11/11/2021,South,Texas,Houston,Pureboost 21 Shoes,31,306,9486,3320,35%,Outlet,
Walmart,ADIDAS,1197831,11/12/2021,South,Texas,Houston,Adilette Slides,41,306,12546,2509,20%,Outlet,
West Gear,ADIDAS,1128299,11/13/2021,West,California,San Francisco,Marimekko Adilette Slides,60,306,18360,6426,35%,Outlet,
West Gear,ADIDAS,1128299,11/14/2021,West,California,San Francisco,Adilette Slides,46,306,14076,4223,30%,Outlet,
Kohl's,ADIDAS,1189833,11/15/2021,West,California,Los Angeles,Ozelia Shoes,36,306,11016,5508,50%,Outlet,
Sports Direct,ADIDAS,1197831,11/16/2021,South,Tennessee,Knoxville,ZX 2K Boost 2.0 Shoes,37,306,11322,1698,15%,Outlet,
West Gear,ADIDAS,1128299,11/17/2021,South,Louisiana,New Orleans,ZX 2K Boost 2.0 Shoes,62,306,18972,6640,35%,Outlet,
Foot Locker,ADIDAS,1185732,11/18/2021,Northeast,New York,New York,Badge of Sport Classic Tee (Plus size),64,305,19520,3904,20%,Online,
Walmart,ADIDAS,1197831,11/19/2021,South,Texas,Houston,ZX 2K Boost 2.0 Shoes,27,305,8235,2882,35%,Outlet,
Walmart,ADIDAS,1197831,11/20/2021,South,Texas,Houston,Fleece Sweatshirt,33,305,10065,3020,30%,Outlet,
Foot Locker,ADIDAS,1197831,11/21/2021,West,Idaho,Boise,Hyperglam Crop Crew Sweatshirt,39,305,11895,5948,50%,Outlet,
West Gear,ADIDAS,1185732,11/22/2021,Southeast,Florida,Miami,Swift X Shoes,60,304,18240,2736,15%,Online,
Walmart,ADIDAS,1197831,11/23/2021,South,Texas,Houston,Hyperglam Crop Crew Sweatshirt,36,302,10872,4349,40%,Outlet,
West Gear,ADIDAS,1128299,11/24/2021,West,California,San Francisco,Adilette Slides,45,302,13590,3398,25%,Outlet,
Sports Direct,ADIDAS,1197831,11/25/2021,South,Tennessee,Knoxville,Swift X Shoes,30,300,9000,3600,40%,Outlet,
Sports Direct,ADIDAS,1197831,11/26/2021,South,Alabama,Birmingham,ZX 2K Boost 2.0 Shoes,30,300,9000,3150,35%,Outlet,
Foot Locker,ADIDAS,1185732,11/27/2021,Midwest,Missouri,St. Louis,adidas Sportswear Comfy & Chill Full Zip Hoodie,30,300,9000,4950,55%,In-store,
Foot Locker,ADIDAS,1185732,11/28/2021,Midwest,Missouri,St. Louis,adidas Sportswear Seasonals Stadium Shorts,15,300,4500,900,20%,In-store,
West Gear,ADIDAS,1185732,11/29/2021,West,Utah,Salt Lake City,adidas Sportswear Future Icons Camo Graphic Sweatshirt,20,300,6000,2400,40%,In-store,
West Gear,ADIDAS,1185732,11/30/2021,West,Utah,Salt Lake City,EQ21 Run Shoes,20,300,6000,1500,25%,In-store,
Amazon,ADIDAS,1185732,12/1/2021,Midwest,Ohio,Columbus,Badge of Sport Classic Tee (Plus size),30,300,9000,3600,40%,Online,
Foot Locker,ADIDAS,1185732,12/2/2021,South,Mississippi,Jackson,EQ21 Run Shoes,20,300,6000,2100,35%,Online,
Sports Direct,ADIDAS,1197831,12/3/2021,South,Mississippi,Jackson,adidas Sportswear Comfy & Chill Full Zip Hoodie,20,300,6000,3300,55%,Online,
Walmart,ADIDAS,1197831,12/4/2021,South,Arkansas,Little Rock,Predators Long Sleeve Tee,25,300,7500,1500,20%,Online,
Walmart,ADIDAS,1197831,12/5/2021,South,Arkansas,Little Rock,EQ21 Run Shoes,15,300,4500,1575,35%,Online,
Walmart,ADIDAS,1197831,12/6/2021,South,Arkansas,Little Rock,adidas Equipment Tiro Track Pants,20,300,6000,1200,20%,Online,
Kohl's,ADIDAS,1197831,12/7/2021,South,Oklahoma,Oklahoma City,Badge of Sport Classic Tee (Plus size),15,300,4500,1575,35%,Online,
Kohl's,ADIDAS,1197831,12/8/2021,South,Oklahoma,Oklahoma City,Fold-Cuff Crew Socks 3 Pairs,15,300,4500,1350,30%,Online,
Kohl's,ADIDAS,1197831,12/9/2021,Midwest,Kansas,Wichita,Fold-Cuff Crew Socks 3 Pairs,30,300,9000,4500,50%,Online,
Foot Locker,ADIDAS,1197831,12/10/2021,Midwest,Kansas,Wichita,adidas x Zoe Saldana Feelbrilliant AEROREADY 7/8 Printed Sport Tights,30,300,9000,1350,15%,Online,
West Gear,ADIDAS,1185732,12/11/2021,Midwest,Wisconsin,Milwaukee,adidas Sleek Shoes,30,300,9000,3150,35%,In-store,
West Gear,ADIDAS,1185732,12/12/2021,Midwest,Wisconsin,Milwaukee,Marimekko Oversize Tee,25,300,7500,1500,20%,In-store,
West Gear,ADIDAS,1185732,12/13/2021,Midwest,Indiana,Indianapolis,Classic Waist Bag,20,300,6000,2100,35%,In-store,
West Gear,ADIDAS,1185732,12/14/2021,Midwest,Indiana,Indianapolis,Cropped Letter Hoodie,25,300,7500,2250,30%,In-store,
West Gear,ADIDAS,1185732,12/15/2021,Midwest,Indiana,Indianapolis,AEROREADY Designed to Move Sport Motion Logo Hoodie,30,300,9000,4500,50%,In-store,
Sports Direct,ADIDAS,1185732,12/16/2021,Northeast,New Jersey,Newark,Tensor Run Shoes,30,300,9000,1350,15%,In-store,
Foot Locker,ADIDAS,1185732,12/17/2021,Northeast,New York,New York,Supernova+ Shoes,45,300,13500,4050,30%,Online,
Walmart,ADIDAS,1185732,12/18/2021,Northeast,New York,New York,Predator Freak.3 Turf Shoes,51,300,15300,2295,15%,Online,
West Gear,ADIDAS,1185732,12/19/2021,Southeast,Florida,Miami,Adicolor Classics Collegiate Cropped Hoodie,52,300,15600,4680,30%,Online,
Walmart,ADIDAS,1185732,12/20/2021,Northeast,New York,New York,Waist Bag,60,299,17940,4485,25%,Online,
