Retailer,Brand,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,PUMA,1185732,11/15/2021,Northeast,Pennsylvania,Philadelphia,Cruise Rider Silk Women's Shoes,96,470,45313,22657,50%,Outlet
Foot Locker,PUMA,1185732,11/16/2021,Northeast,Pennsylvania,Philadelphia,Cruise Rider Silk Women's Shoes,96,175,16872,5062,30%,Outlet
Foot Locker,PUMA,1185732,11/17/2021,Northeast,Pennsylvania,Philadelphia,Deviate Nitro 2 Winterised Women's Trail Running Shoes,263,150,39448,13807,35%,Outlet
Foot Locker,PUMA,1185732,11/18/2021,Northeast,Pennsylvania,Philadelphia,Cilia Lux Women's Sneakers,99,100,9860,3451,35%,Outlet
Foot Locker,PUMA,1185732,11/19/2021,Northeast,Pennsylvania,Philadelphia,Fier Nitro Women's Sneakers,131,125,16435,4930,30%,Outlet
Foot Locker,PUMA,1185732,11/20/2021,Northeast,Pennsylvania,Philadelphia,Vikky v3 Mid Leather Women's Sneakers,98,250,24445,7334,30%,Outlet
Foot Locker,PUMA,1185732,11/21/2021,Northeast,Pennsylvania,Philadelphia,Carina 2.0 Mid Women's Sneakers,99,500,49301,27116,55%,Outlet
Foot Locker,PUMA,1185732,11/22/2021,Northeast,Pennsylvania,Philadelphia,Mayze Chelsea Women's Jelly Boots,148,250,36979,12943,35%,Outlet
Foot Locker,PUMA,1185732,11/23/2021,Northeast,Pennsylvania,Philadelphia,Cali Dream Brand Love Women's Sneakers,123,175,21571,8628,40%,Outlet
Foot Locker,PUMA,1185732,11/24/2021,Northeast,Pennsylvania,Philadelphia,Future Rider Soft Women's Sneakers,103,150,15448,6179,40%,Outlet
Foot Locker,PUMA,1185732,11/25/2021,Northeast,Pennsylvania,Philadelphia,RS-Pulsoid Women's Sneakers,274,150,41092,14382,35%,Outlet
Foot Locker,PUMA,1185732,11/26/2021,Northeast,Pennsylvania,Philadelphia,RS-Pulsoid Women's Sneakers,274,300,82184,24655,30%,Outlet
Foot Locker,PUMA,1185732,11/27/2021,Northeast,Pennsylvania,Philadelphia,Mayze Mix Women's Sneakers,247,500,123274,67801,55%,Outlet
Foot Locker,PUMA,1185732,11/28/2021,Northeast,Pennsylvania,Philadelphia,Future Rider Soft Women's Sneakers,219,300,65745,23011,35%,Outlet
Foot Locker,PUMA,1185732,11/29/2021,Northeast,Pennsylvania,Philadelphia,Mayze Mix Women's Sneakers,247,225,55473,22189,40%,Outlet
Foot Locker,PUMA,1185732,11/30/2021,Northeast,Pennsylvania,Philadelphia,PUMA Sienna SOFTRIDE Women's Ballerina Shoes,55,175,9680,3872,40%,Outlet
Foot Locker,PUMA,1185732,12/1/2021,Northeast,Pennsylvania,Philadelphia,PUMA X-Ray Fluido Women's Sneakers,82,200,16433,5752,35%,Outlet
Foot Locker,PUMA,1185732,12/2/2021,Northeast,Pennsylvania,Philadelphia,PUMA Celi Women's Sneakers,62,375,23106,6932,30%,Outlet
Foot Locker,PUMA,1185732,12/3/2021,Northeast,Pennsylvania,Philadelphia,PUMA Celi Women's Sneakers,62,525,32349,17792,55%,Outlet
Foot Locker,PUMA,1185732,12/4/2021,Northeast,Pennsylvania,Philadelphia,Whizzlite Women's Sneakers,59,300,17745,6211,35%,Outlet
Foot Locker,PUMA,1185732,12/5/2021,Northeast,Pennsylvania,Philadelphia,Whizzlite Women's Sneakers,59,225,13309,5324,40%,Outlet
Foot Locker,PUMA,1185732,12/6/2021,Northeast,Pennsylvania,Philadelphia,RS-X Soft Women's Sneakers,164,200,32871,13148,40%,Outlet
Foot Locker,PUMA,1185732,12/7/2021,Northeast,Pennsylvania,Philadelphia,RS-X Soft Women's Sneakers,178,175,31160,10906,35%,Outlet
Foot Locker,PUMA,1185732,12/8/2021,Northeast,Pennsylvania,Philadelphia,Karmen Rebelle Women's Sneakers,105,350,36908,11072,30%,Outlet
Foot Locker,PUMA,1185732,12/9/2021,Northeast,Pennsylvania,Philadelphia,Carina 2.0 Women's Sneakers,85,475,40590,20295,50%,Outlet
Foot Locker,PUMA,1185732,12/10/2021,Northeast,Pennsylvania,Philadelphia,Mayze Forward History Women's Sneakers,164,275,45198,13559,30%,Outlet
Foot Locker,PUMA,1185732,12/11/2021,Northeast,Pennsylvania,Philadelphia,Future Rider Pastel Women's Sneakers,111,200,22186,7765,35%,Outlet
Foot Locker,PUMA,1185732,12/12/2021,Northeast,Pennsylvania,Philadelphia,Cali Court Match Women's Sneakers,116,175,20276,7097,35%,Outlet
Foot Locker,PUMA,1185732,12/13/2021,Northeast,Pennsylvania,Philadelphia,Future Rider Pastel Women's Sneakers,123,125,15408,4622,30%,Outlet
Foot Locker,PUMA,1185732,12/14/2021,Northeast,Pennsylvania,Philadelphia,Mayze Mix Women's Sneakers,148,225,33282,8320,25%,Outlet
Foot Locker,PUMA,1185732,12/15/2021,Northeast,Pennsylvania,Philadelphia,Karmen Rebelle Women's Sneakers,105,400,42181,21090,50%,Outlet
Foot Locker,PUMA,1185732,12/16/2021,Northeast,Pennsylvania,Philadelphia,PUMA SMASH V1 Women's Sneakers,110,225,24651,7395,30%,Outlet
Foot Locker,PUMA,1185732,12/17/2021,Northeast,Pennsylvania,Philadelphia,PUMA SMASH V1 Women's Sneakers,110,125,13695,4793,35%,Outlet
Foot Locker,PUMA,1185732,12/18/2021,Northeast,Pennsylvania,Philadelphia,Carina Slim Perf Women's Sneakers,62,100,6162,2157,35%,Outlet
Foot Locker,PUMA,1185732,12/19/2021,Northeast,Pennsylvania,Philadelphia,Carina Slim Perf Women's Sneakers,64,100,6408,1922,30%,Outlet
Foot Locker,PUMA,1185732,12/20/2021,Northeast,Pennsylvania,Philadelphia,Kaia 2.0 Women's Sneakers,90,225,20336,5084,25%,Outlet
Foot Locker,PUMA,1185732,12/21/2021,Northeast,Pennsylvania,Philadelphia,RS-Pulsoid Metallic Women's Sneakers,164,375,61634,33898,55%,Outlet
Foot Locker,PUMA,1185732,12/22/2021,Northeast,Pennsylvania,Philadelphia,Kaia 2.0 Women's Sneakers,82,200,16433,5752,35%,Outlet
Foot Locker,PUMA,1185732,12/23/2021,Northeast,Pennsylvania,Philadelphia,RS-Pulsoid Metallic Women's Sneakers,164,195,32049,12820,40%,Outlet
Foot Locker,PUMA,1185732,12/24/2021,Northeast,Pennsylvania,Philadelphia,Slipstream PRM Women's Sneakers,181,175,31639,12656,40%,Outlet
Foot Locker,PUMA,1185732,12/25/2021,Northeast,Pennsylvania,Philadelphia,Slipstream PRM Women's Sneakers,181,150,27119,9492,35%,Outlet
Foot Locker,PUMA,1185732,12/26/2021,Northeast,Pennsylvania,Philadelphia,Carina Street Women's Sneakers,100,250,24925,7477,30%,Outlet
Foot Locker,PUMA,1185732,12/27/2021,Northeast,Pennsylvania,Philadelphia,Rider FVW Clean Women's Sneakers,131,475,62453,34349,55%,Outlet
Foot Locker,PUMA,1185732,12/28/2021,Northeast,Pennsylvania,Philadelphia,Carina Street Women's Sneakers,90,275,24780,8673,35%,Outlet
Foot Locker,PUMA,1185732,12/29/2021,Northeast,Pennsylvania,Philadelphia,Rider FVW Clean Women's Sneakers,131,225,29583,11833,40%,Outlet
Foot Locker,PUMA,1185732,12/30/2021,Northeast,Pennsylvania,Philadelphia,Karmen Pop-Up Metallics Women's Sneakers,102,175,17783,7113,40%,Outlet
Foot Locker,PUMA,1185732,12/31/2021,Northeast,Pennsylvania,Philadelphia,Karmen Pop-Up Metallics Women's Sneakers,102,175,17783,6224,35%,Outlet
Foot Locker,PUMA,1185732,1/1/2020,Northeast,Pennsylvania,Philadelphia,Carina Street Women's Sneakers,96,275,26362,7909,30%,Outlet
Foot Locker,PUMA,1185732,10/26/2021,Northeast,Pennsylvania,Philadelphia,Carina Street VTG Women's Sneakers,134,41,5503,2256,41%,Outlet
Foot Locker,PUMA,1185732,10/27/2021,Northeast,Pennsylvania,Philadelphia,Carina Street VTG Women's Sneakers,144,70,10067,3423,34%,Outlet
Foot Locker,PUMA,1185732,10/28/2021,Northeast,Pennsylvania,Philadelphia,Mayze Stack XPL BM Desert Women's Sneakers,164,166,27283,16370,60%,Outlet
Foot Locker,PUMA,1185732,10/29/2021,Northeast,Pennsylvania,Philadelphia,RS 3.0 Pop Women's Sneakers,131,44,5785,2314,40%,Outlet
Foot Locker,PUMA,1185732,10/30/2021,Northeast,Pennsylvania,Philadelphia,Cali Dream Pastel Women's Sneakers,131,54,7100,3195,45%,Outlet
Foot Locker,PUMA,1185732,10/31/2021,Northeast,Pennsylvania,Philadelphia,Pacer Future Allure Women's Sneakers,96,17,1630,684,42%,Outlet
Foot Locker,PUMA,1185732,11/1/2021,Northeast,Pennsylvania,Philadelphia,RS-Pulsoid Women's Sneakers,164,40,6574,2432,37%,Outlet
Foot Locker,PUMA,1185732,11/2/2021,Northeast,Pennsylvania,Philadelphia,BMW M Motorsport Spina Nitro Women's Sneakers,164,74,12162,4257,35%,Outlet
Foot Locker,PUMA,1185732,11/3/2021,Northeast,Pennsylvania,Philadelphia,Mayze Classic Women's Sneakers,131,156,20511,11896,58%,Outlet
Foot Locker,PUMA,1185732,11/4/2021,Northeast,Pennsylvania,Philadelphia,PUMA x lemlem Suede Women's Sneakers,247,53,13067,4835,37%,Outlet
Foot Locker,PUMA,1185732,11/5/2021,Northeast,Pennsylvania,Philadelphia,PUMA x lemlem Slipstream Mid Women's Sneakers,249,58,14459,6506,45%,Outlet
Foot Locker,PUMA,1185732,11/6/2021,Northeast,Pennsylvania,Philadelphia,RS 3.0 Pop Women's Sneakers,131,8,1052,463,44%,Outlet
Foot Locker,PUMA,1185732,11/7/2021,Northeast,Pennsylvania,Philadelphia,PUMA x THE SMURFS Mayze Women's Sneakers,164,24,3945,1341,34%,Outlet
Foot Locker,PUMA,1185732,11/8/2021,Northeast,Pennsylvania,Philadelphia,Suede Classic Beach Days Women's Sneakers,148,61,9023,2797,31%,Outlet
Foot Locker,PUMA,1185732,11/9/2021,Northeast,Pennsylvania,Philadelphia,Suede Classic Beach Days Women's Sneakers,148,140,20708,11804,57%,Outlet
Foot Locker,PUMA,1185732,11/10/2021,Northeast,Pennsylvania,Philadelphia,Carina Leather SoftFoam Women's Sneakers,79,51,4023,1287,32%,Outlet
Foot Locker,PUMA,1185732,11/11/2021,Northeast,Pennsylvania,Philadelphia,Player Women's Sneakers,59,51,3003,1261,42%,Outlet
Foot Locker,PUMA,1185732,11/12/2021,Northeast,Pennsylvania,Philadelphia,Carina 2.0 Women's Sneakers,82,24,1972,749,38%,Outlet
Foot Locker,PUMA,1185732,11/13/2021,Northeast,Pennsylvania,Philadelphia,Carina 2.0 Women's Sneakers,82,26,2136,790,37%,Outlet
Foot Locker,PUMA,1185732,11/14/2021,Northeast,Pennsylvania,Philadelphia,RS-Pulsoid Women's Sneakers,164,64,10519,2840,27%,Outlet
Foot Locker,PUMA,1185732,11/15/2021,Northeast,Pennsylvania,Philadelphia,RS 3.0 Soft Women's Sneakers,131,150,19722,10255,52%,Outlet
Foot Locker,PUMA,1185732,11/16/2021,Northeast,Pennsylvania,Philadelphia,Jada Renew Regent Romance Women's Sneakers,98,54,5280,1742,33%,Outlet
Foot Locker,PUMA,1185732,11/17/2021,Northeast,Pennsylvania,Philadelphia,RS-Pulsoid Beach Days Women's Sneakers,164,53,8711,3223,37%,Outlet
Foot Locker,PUMA,1185732,11/18/2021,Northeast,Pennsylvania,Philadelphia,Mayze Tomorrowland Fashion Women's Sneakers,148,34,5029,2012,40%,Outlet
Foot Locker,PUMA,1185732,11/19/2021,Northeast,Pennsylvania,Philadelphia,Muse X-2 Metallic V1 Women's Sneakers,115,39,4487,1660,37%,Outlet
Foot Locker,PUMA,1185732,11/20/2021,Northeast,Pennsylvania,Philadelphia,Mayze Beach Days Women's Sneakers,131,78,10255,3794,37%,Outlet
Foot Locker,PUMA,1185732,11/21/2021,Northeast,Pennsylvania,Philadelphia,Carina 2.0 Pop Up Metallics Women's Sneakers,99,170,16762,9555,57%,Outlet
Foot Locker,PUMA,1185732,11/22/2021,Northeast,Pennsylvania,Philadelphia,Carina 2.0 Women's Sneakers,82,85,6984,2724,39%,Outlet
Foot Locker,PUMA,1185732,11/23/2021,Northeast,Pennsylvania,Philadelphia,Mayze Beach Days Women's Sneakers,131,54,7100,3053,43%,Outlet
Foot Locker,PUMA,1185732,11/24/2021,Northeast,Pennsylvania,Philadelphia,Kosmo Rider Women's Sneakers,131,53,6968,3275,47%,Outlet
Foot Locker,PUMA,1185732,11/25/2021,Northeast,Pennsylvania,Philadelphia,Kosmo Rider Women's Sneakers,131,48,6311,2651,42%,Outlet
Foot Locker,PUMA,1185732,11/26/2021,Northeast,Pennsylvania,Philadelphia,Rider FV Artisan Women's Sneakers,122,105,12827,4490,35%,Outlet
Foot Locker,PUMA,1185732,11/27/2021,Northeast,Pennsylvania,Philadelphia,Kosmo Rider Women's Sneakers,131,175,23009,13115,57%,Outlet
Foot Locker,PUMA,1185732,11/28/2021,Northeast,Pennsylvania,Philadelphia,TRC MIRA Summer Women's Sneakers,136,99,13423,5235,39%,Outlet
Foot Locker,PUMA,1185732,11/29/2021,Northeast,Pennsylvania,Philadelphia,Blktop Rider Soft Women's Sneakers,148,72,10650,4580,43%,Outlet
Foot Locker,PUMA,1185732,11/30/2021,Northeast,Pennsylvania,Philadelphia,Cali Dream Clean Women's Sneakers,131,56,7363,3461,47%,Outlet
Foot Locker,PUMA,1185732,12/1/2021,Northeast,Pennsylvania,Philadelphia,Cassia SL Women's Shoes,105,64,6749,2700,40%,Outlet
Foot Locker,PUMA,1185732,12/2/2021,Northeast,Pennsylvania,Philadelphia,Slipstream Lo Self-Love Women's Sneakers,181,116,20972,7550,36%,Outlet
Foot Locker,PUMA,1185732,12/3/2021,Northeast,Pennsylvania,Philadelphia,RS-X Efekt Selflove Women's Sneakers,197,179,35305,20477,58%,Outlet
Foot Locker,PUMA,1185732,12/4/2021,Northeast,Pennsylvania,Philadelphia,RS 3.0 Soft Women's Sneakers,131,102,13411,5633,42%,Outlet
Foot Locker,PUMA,1185732,12/5/2021,Northeast,Pennsylvania,Philadelphia,Cali Court Match Women's Sneakers,136,79,10712,5034,47%,Outlet
Foot Locker,PUMA,1185732,12/6/2021,Northeast,Pennsylvania,Philadelphia,Tori Pixie Women's Sneakers,151,62,9341,4297,46%,Outlet
Foot Locker,PUMA,1185732,12/7/2021,Northeast,Pennsylvania,Philadelphia,Fier Nitro RE: ESCAPE Women's Sneakers,175,54,9467,3692,39%,Outlet
Foot Locker,PUMA,1185732,12/8/2021,Northeast,Pennsylvania,Philadelphia,Carina PFS Women's Sneakers,75,123,9264,3335,36%,Outlet
Foot Locker,PUMA,1185732,12/9/2021,Northeast,Pennsylvania,Philadelphia,Kosmo Rider Women's Sneakers,99,162,15974,8306,52%,Outlet
Foot Locker,PUMA,1185732,12/10/2021,Northeast,Pennsylvania,Philadelphia,RS-X WOTB Women's Sneakers,164,91,14956,5085,34%,Outlet
Foot Locker,PUMA,1185732,12/11/2021,Northeast,Pennsylvania,Philadelphia,Zora Women's Sneakers,90,60,5423,2169,40%,Outlet
Foot Locker,PUMA,1185732,12/12/2021,Northeast,Pennsylvania,Philadelphia,Tori Women's Shoes,89,53,4718,1934,41%,Outlet
Foot Locker,PUMA,1185732,12/13/2021,Northeast,Pennsylvania,Philadelphia,Mayze Crashed Self-Love Women's Sneakers,164,41,6739,2291,34%,Outlet
Foot Locker,PUMA,1185732,12/14/2021,Northeast,Pennsylvania,Philadelphia,Fier Nitro Women's Sneakers,131,79,10387,3220,31%,Outlet
Foot Locker,PUMA,1185732,12/15/2021,Northeast,Pennsylvania,Philadelphia,Phlox Tonal Women's Sneakers,116,124,14367,7615,53%,Outlet
Foot Locker,PUMA,1185732,12/16/2021,Northeast,Pennsylvania,Philadelphia,Cassia Laser Cut Women's Sneakers,134,68,9127,2921,32%,Outlet
Foot Locker,PUMA,1185732,12/17/2021,Northeast,Pennsylvania,Philadelphia,Cali Star Glitter Women's Sneakers,103,38,3913,1487,38%,Outlet
Foot Locker,PUMA,1185732,12/18/2021,Northeast,Pennsylvania,Philadelphia,Cruise Rider NU Satin Women's Sneakers,113,34,3837,1458,38%,Outlet
Foot Locker,PUMA,1185732,12/19/2021,Northeast,Pennsylvania,Philadelphia,Carina Lux Women's Sneakers,68,30,2054,678,33%,Outlet
Foot Locker,PUMA,1185732,12/20/2021,Northeast,Pennsylvania,Philadelphia,TRC Mira Tech Pop Women's Sneakers,136,74,10034,3211,32%,Outlet
Foot Locker,PUMA,1185732,12/21/2021,Northeast,Pennsylvania,Philadelphia,Future Rider BD Women's Sneakers,123,124,15284,9171,60%,Outlet
Foot Locker,PUMA,1185732,12/22/2021,Northeast,Pennsylvania,Philadelphia,Orkid Pastel Women's Sneakers,173,68,11735,4929,42%,Outlet
Foot Locker,PUMA,1185732,12/23/2021,Northeast,Pennsylvania,Philadelphia,Suede Mayu Thrifted Women's Sneakers,173,66,11390,5012,44%,Outlet
Foot Locker,PUMA,1185732,12/24/2021,Northeast,Pennsylvania,Philadelphia,Vikky Lo Pro Women's Sneakers,103,60,6163,2835,46%,Outlet
Foot Locker,PUMA,1185732,12/25/2021,Northeast,Pennsylvania,Philadelphia,Carina 2.0 Mid Women's Sneakers,164,48,7889,3077,39%,Outlet
Foot Locker,PUMA,1185732,12/26/2021,Northeast,Pennsylvania,Philadelphia,Kosmo Rider Pop Women's Sneakers,175,75,13149,4734,36%,Outlet
Foot Locker,PUMA,1185732,12/27/2021,Northeast,Pennsylvania,Philadelphia,Vikky V3 Leather Women's Sneakers,86,143,12337,7526,61%,Outlet
Foot Locker,PUMA,1185732,12/28/2021,Northeast,Pennsylvania,Philadelphia,Mayze Women's Sneakers,219,85,18628,7637,41%,Outlet
Foot Locker,PUMA,1185732,12/29/2021,Northeast,Pennsylvania,Philadelphia,Cali Dream Lth Women's Sneakers,175,79,13850,6094,44%,Outlet
Foot Locker,PUMA,1185732,12/30/2021,Northeast,Pennsylvania,Philadelphia,Kosmo Rider Women's Sneakers,219,53,11615,5227,45%,Outlet
Foot Locker,PUMA,1185732,12/31/2021,Northeast,Pennsylvania,Philadelphia,Mayze Stack XPL Infuse Women's Sneakers,164,56,9204,3590,39%,Outlet
Foot Locker,PUMA,1185732,1/1/2020,Northeast,Pennsylvania,Philadelphia,Carina 2.0 Women's Sneakers,82,83,6820,2182,32%,Outlet
Foot Locker,PUMA,1185732,10/26/2021,Northeast,Pennsylvania,Philadelphia,Slipstream 'Evolution Of The Classics' Women's Sneakers,148,36,5325,2396,45%,Online
Foot Locker,PUMA,1185732,10/27/2021,Northeast,Pennsylvania,Philadelphia,Slipstream 'Evolution Of The Classics' Women's Sneakers,148,61,9023,3970,44%,Online
Foot Locker,PUMA,1185732,10/28/2021,Northeast,Pennsylvania,Philadelphia,Cali Dream Leather Women's Sneakers,131,119,15646,10483,67%,Online
Foot Locker,PUMA,1185732,10/29/2021,Northeast,Pennsylvania,Philadelphia,PUMA Cali Court Leather Women's Sneakers,131,35,4573,2195,48%,Online
Foot Locker,PUMA,1185732,10/30/2021,Northeast,Pennsylvania,Philadelphia,Slipstream Lo Self-Love Women's Sneakers,181,46,8317,4325,52%,Online
Foot Locker,PUMA,1185732,10/31/2021,Northeast,Pennsylvania,Philadelphia,Cali Dream Brand Love Women's Sneakers,123,13,1602,833,52%,Online
Foot Locker,PUMA,1185732,11/1/2021,Northeast,Pennsylvania,Philadelphia,Mayze Mix Women's Sneakers,148,36,5325,2450,46%,Online
Foot Locker,PUMA,1185732,11/2/2021,Northeast,Pennsylvania,Philadelphia,RS-X Soft Women's Sneakers,164,68,11176,5029,45%,Online
Foot Locker,PUMA,1185732,11/3/2021,Northeast,Pennsylvania,Philadelphia,Carina 2.0 Women's Sneakers,85,120,10254,7178,70%,Online
Foot Locker,PUMA,1185732,11/4/2021,Northeast,Pennsylvania,Philadelphia,Cali Dream Pastel Women's Sneakers,131,38,4996,2448,49%,Online
Foot Locker,PUMA,1185732,11/5/2021,Northeast,Pennsylvania,Philadelphia,Carina 2.0 Pop Up Metallics Women's Sneakers,99,51,5029,2716,54%,Online
Foot Locker,PUMA,1185732,11/6/2021,Northeast,Pennsylvania,Philadelphia,Jada Renew Regent Romance Women's Sneakers,107,8,855,436,51%,Online
Foot Locker,PUMA,1185732,11/7/2021,Northeast,Pennsylvania,Philadelphia,Spina Nitro V1 Women's Sneakers,148,20,2958,1183,40%,Online
Foot Locker,PUMA,1185732,11/8/2021,Northeast,Pennsylvania,Philadelphia,Mayze Crashed Self-Love Women's Sneakers,164,44,7232,2531,35%,Online
Foot Locker,PUMA,1185732,11/9/2021,Northeast,Pennsylvania,Philadelphia,Mayze Stack Fashion Women's Sneakers,164,122,20051,12632,63%,Online
Foot Locker,PUMA,1185732,11/10/2021,Northeast,Pennsylvania,Philadelphia,RS-X Efekt WOTB Women's Sneakers,181,45,8136,3417,42%,Online
Foot Locker,PUMA,1185732,11/11/2021,Northeast,Pennsylvania,Philadelphia,Cali Court Beach Days Women's Sneakers,148,38,5621,2586,46%,Online
Foot Locker,PUMA,1185732,11/12/2021,Northeast,Pennsylvania,Philadelphia,Cali Court Beach Days Women's Sneakers,148,20,2958,1361,46%,Online
Foot Locker,PUMA,1185732,11/13/2021,Northeast,Pennsylvania,Philadelphia,BMW M Motorsport RS-Puls Women's Sneakers,142,22,3116,1309,42%,Online
Foot Locker,PUMA,1185732,11/14/2021,Northeast,Pennsylvania,Philadelphia,Rider FV Beach Days Women's Sneakers,131,54,7100,2556,36%,Online
Foot Locker,PUMA,1185732,11/15/2021,Northeast,Pennsylvania,Philadelphia,Rider FV Beach Days Women's Sneakers,131,136,17881,11265,63%,Online
Foot Locker,PUMA,1185732,11/16/2021,Northeast,Pennsylvania,Philadelphia,Mayze Tomorrowland Music Women's Sneakers,131,53,6968,2787,40%,Online
Foot Locker,PUMA,1185732,11/17/2021,Northeast,Pennsylvania,Philadelphia,Vikky v3 Mid Leather Women's Sneakers,103,42,4337,1995,46%,Online
Foot Locker,PUMA,1185732,11/18/2021,Northeast,Pennsylvania,Philadelphia,RS-Pulsoid Beach Days Women's Sneakers,164,29,4766,2240,47%,Online
Foot Locker,PUMA,1185732,11/19/2021,Northeast,Pennsylvania,Philadelphia,Mayze Stack XPL BM Art Women's Sneakers,164,31,5095,2140,42%,Online
Foot Locker,PUMA,1185732,11/20/2021,Northeast,Pennsylvania,Philadelphia,Lajla Tonal Women's Sneakers,98,63,6160,2772,45%,Online
Foot Locker,PUMA,1185732,11/21/2021,Northeast,Pennsylvania,Philadelphia,Lajla Tonal Women's Sneakers,105,135,14199,9229,65%,Online
Foot Locker,PUMA,1185732,11/22/2021,Northeast,Pennsylvania,Philadelphia,TRC MIRA Summer Women's Sneakers,136,70,9491,4366,46%,Online
Foot Locker,PUMA,1185732,11/23/2021,Northeast,Pennsylvania,Philadelphia,Jada Renew Better Women's Sneakers,99,44,4339,2169,50%,Online
Foot Locker,PUMA,1185732,11/24/2021,Northeast,Pennsylvania,Philadelphia,Tori Pixie Women's Sneakers,151,39,5876,3114,53%,Online
Foot Locker,PUMA,1185732,11/25/2021,Northeast,Pennsylvania,Philadelphia,Tori Laser Cut Women's Sneakers,164,45,7396,3402,46%,Online
Foot Locker,PUMA,1185732,11/26/2021,Northeast,Pennsylvania,Philadelphia,Fier Nitro Metallic Women's Sneakers,131,81,10650,4473,42%,Online
Foot Locker,PUMA,1185732,11/27/2021,Northeast,Pennsylvania,Philadelphia,Fier Nitro Metallic Women's Sneakers,153,145,22243,14903,67%,Online
Foot Locker,PUMA,1185732,11/28/2021,Northeast,Pennsylvania,Philadelphia,TRC Mira Feelin Xtra Women's Sneakers,136,90,12203,6102,50%,Online
Foot Locker,PUMA,1185732,11/29/2021,Northeast,Pennsylvania,Philadelphia,Stride Monarch Women's Sneakers,96,59,5656,2828,50%,Online
Foot Locker,PUMA,1185732,11/30/2021,Northeast,Pennsylvania,Philadelphia,Fier Nitro Pop Women's Sneakers,175,44,7714,4088,53%,Online
Foot Locker,PUMA,1185732,12/1/2021,Northeast,Pennsylvania,Philadelphia,Vikky V3 Women's Sneakers,82,60,4930,2366,48%,Online
Foot Locker,PUMA,1185732,12/2/2021,Northeast,Pennsylvania,Philadelphia,TRC Mira Tech Women's Sneakers,116,98,11355,4769,42%,Online
